INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../utils.cpp in debug mode
   Generating csim.exe
Beginning HLS  simulation...
simulation complete!

Output feature[30161]: Expected: -0.0115833	Actual: -0.0115832
Output feature[30241]: Expected: -0.44707	Actual: -0.44707
Output feature[30321]: Expected: -1.11614	Actual: -1.11614
Output feature[30401]: Expected: -0.501228	Actual: -0.501228
Output feature[30481]: Expected: 0.146221	Actual: 0.146221
Output feature[30561]: Expected: -0.877365	Actual: -0.877365
Output feature[30641]: Expected: -0.0550115	Actual: -0.0550116
Output feature[30721]: Expected: -0.844763	Actual: -0.844763
Output feature[30801]: Expected: -0.865278	Actual: -0.865278
Output feature[30881]: Expected: 0.0336833	Actual: 0.0336834
Output feature[30961]: Expected: -0.991918	Actual: -0.991918
Output feature[31041]: Expected: -0.562939	Actual: -0.562939
Output feature[31121]: Expected: 0.437433	Actual: 0.437433
Output feature[31201]: Expected: -0.754094	Actual: -0.754094
Output feature[31281]: Expected: -0.19353	Actual: -0.19353
Output feature[31361]: Expected: -0.321233	Actual: -0.321233
Output feature[31441]: Expected: -0.869239	Actual: -0.869239
Output feature[31521]: Expected: -0.305717	Actual: -0.305717
Output feature[31601]: Expected: -0.104042	Actual: -0.104042
Output feature[31681]: Expected: -0.486018	Actual: -0.486018
Output feature[31761]: Expected: -0.404192	Actual: -0.404192
Output feature[31841]: Expected: -0.884768	Actual: -0.884768
Output feature[31921]: Expected: -1.09221	Actual: -1.09221
Output feature[32001]: Expected: -1.28778	Actual: -1.28778
Output feature[32081]: Expected: 0.0716678	Actual: 0.0716677
Output feature[32161]: Expected: 0.0194424	Actual: 0.0194424
Output feature[32241]: Expected: 0.395545	Actual: 0.395545
Output feature[32321]: Expected: 0.306466	Actual: 0.306466
Output feature[32401]: Expected: -0.348501	Actual: -0.348502
Output feature[32481]: Expected: -0.368725	Actual: -0.368725
Output feature[32561]: Expected: -0.348411	Actual: -0.348411
Output feature[32641]: Expected: -1.37679	Actual: -1.37679
Output feature[32721]: Expected: -0.662521	Actual: -0.662521
Output feature[32801]: Expected: -0.271798	Actual: -0.271798
Output feature[32881]: Expected: -0.955857	Actual: -0.955857
Output feature[32961]: Expected: -0.158063	Actual: -0.158063
Output feature[33041]: Expected: 0.0304699	Actual: 0.0304699
Output feature[33121]: Expected: -0.438747	Actual: -0.438747
Output feature[33201]: Expected: -0.272631	Actual: -0.272631
Output feature[33281]: Expected: -0.205528	Actual: -0.205528
Output feature[33361]: Expected: -0.249899	Actual: -0.249899
Output feature[33441]: Expected: -0.496406	Actual: -0.496406
Output feature[33521]: Expected: -0.625111	Actual: -0.625111
Output feature[33601]: Expected: -0.463669	Actual: -0.463669
Output feature[33681]: Expected: -0.298723	Actual: -0.298723
Output feature[33761]: Expected: -0.573409	Actual: -0.573409
Output feature[33841]: Expected: 0.241356	Actual: 0.241356
Output feature[33921]: Expected: -0.892342	Actual: -0.892342
Output feature[34001]: Expected: -0.424165	Actual: -0.424165
Output feature[34081]: Expected: -0.0487669	Actual: -0.0487669
Output feature[34161]: Expected: -0.0233986	Actual: -0.0233986
Output feature[34241]: Expected: -0.12704	Actual: -0.12704
Output feature[34321]: Expected: -0.831372	Actual: -0.831372
Output feature[34401]: Expected: -0.597233	Actual: -0.597233
Output feature[34481]: Expected: -0.677613	Actual: -0.677613
Output feature[34561]: Expected: -0.943793	Actual: -0.943793
Output feature[34641]: Expected: -0.0953087	Actual: -0.0953088
Output feature[34721]: Expected: -0.531413	Actual: -0.531413
Output feature[34801]: Expected: -0.296463	Actual: -0.296463
Output feature[34881]: Expected: -0.361932	Actual: -0.361932
Output feature[34961]: Expected: -0.791083	Actual: -0.791083
Output feature[35041]: Expected: -0.121409	Actual: -0.121409
Output feature[35121]: Expected: -0.395278	Actual: -0.395278
Output feature[35201]: Expected: -0.160522	Actual: -0.160522
Output feature[35281]: Expected: -0.34078	Actual: -0.34078
Output feature[35361]: Expected: -0.977685	Actual: -0.977685
Output feature[35441]: Expected: -0.781234	Actual: -0.781234
Output feature[35521]: Expected: -0.414863	Actual: -0.414863
Output feature[35601]: Expected: -0.426975	Actual: -0.426975
Output feature[35681]: Expected: -0.428338	Actual: -0.428338
Output feature[35761]: Expected: -0.156118	Actual: -0.156118
Output feature[35841]: Expected: 0.0378148	Actual: 0.0378147
Output feature[35921]: Expected: 0.110845	Actual: 0.110845
Output feature[36001]: Expected: -0.580869	Actual: -0.580869
